Entidad;Sigla;Fecha de Ingreso;Pertenece al CD 2024;IGJ;AFIP;Estatuto;Nómina Actualizada;Fecha de vencimiento - NÓMINA;Presidente;Fecha de vencimiento - PRESIDENTE;CUIT;Estado del CUIT;Solicitud de ingreso;Fecha de solicitud;Provincia;Localidad;Dirección
Cámara de Sujetos del Sistema de GNC;CASS GNC;15/9/2006;NO;NO;NO;SI;Vencida;1/1/2021;Claudio Spada;1/1/2021;30710054823;BAJA DE OFICIO;;;Buenos Aires;Adrogue; AVENIDA HIPOLITO IRIGOYEN 12286 (CP 1846) ADROGUE, Buenos Aires  
Cámara de Supermercados y Autoservicios de Santa Fe;;16/9/2010;NO;SI;SI;NO;Vigente;29/10/2023;María Elizabeth Raffín Vallejos;1/10/2025;30708069368;OK;;;Santa Fe;Santa Fe;Necochea 5355, Santa Fe, Santa Fe
Cámara de Tintoreros de la Provincia de Buenos Aires;;15/4/1988;NO;NO;NO;NO;Vencida;1/1/2021;Salvador Arasaki;1/1/2021;0;SIN CUIT;SI;-;Buenos Aires;Lomas De Zamora; ALSINA 1573 (CP 1832) LOMAS DE ZAMORA, Buenos Aires  
Cámara de Turismo de La Pampa;CATULPA;14/4/2011;NO;NO;SI;SI;Vencida;4/8/2023;Hugo Fernández Zamponi;20/5/2024;30709544787;BAJA DE OFICIO;;;La Pampa;Santa Rosa; Guemes 395 (CP 6300) SANTA ROSA, La Pampa  
Cámara de Turismo Regional La Plata;;15/12/2014;NO;NO;SI;SI;Vigente;16/11/2025;Daniel Ernesto Loyola;16/11/2025;30710737319;OK;;;Buenos Aires;La Plata; 12 esquina 42 499 felp (CP 1900) LA PLATA, Buenos Aires  
Cámara del Comercio Automotor de Córdoba;CCAC;23/7/2015;NO;NO;SI;SI;Vigente;1/12/2024;Federico Miguel Miretti;1/12/2024;30707368949;OK;;;Córdoba;Cordoba; Avenida General Paz 79 (CP 5000) CORDOBA, Córdoba  
Cámara del Comercio Automotor y Afines del Chaco;;22/4/1999;NO;NO;SI;NO;Vigente;3/6/2025;José Máximo Cabral;30/11/2024;30701358089;OK;;;Chaco;Resistencia; ALBERDI 721 (CP 3500) RESISTENCIA, Chaco  
Cámara del Comercio y la Industria de Merlo;CACIM;6/8/1982;NO;NO;NO;NO;Vencida;Cámara del Comercio Automotor y Afines del Chaco;Marcelo Oscar Soria;30/12/2020;30529614639;BAJA DE OFICIO;;;Buenos Aires;Merlo; JUNCAL 724 (CP 1722) MERLO, Buenos Aires  
Cámara del Comercio y la Industria del Partido de Almirante Brown;CACINAB;17/9/1998;NO;SI;SI;SI;Vigente;20/12/2024;Christian Carrizo;20/12/2024;30527485815;OK;;;Buenos Aires;Almirante Brown; ESTEBAN ADROGUE 1177 (CP 1846) ALMIRANTE BROWN, Buenos Aires  
Cámara del Comercio, la Industria, Bienes Raíces y Producción Rural de Esteban Echeverría;;24/11/1981;NO;NO;SI;NO;Vencida;31/12/2023;Vicente De Luca;31/12/2023;30547450163;OK;;;Buenos Aires;Monte Grande; PARISH ROBERTSON 140 (CP 1842) MONTE GRANDE, Buenos Aires  
Cámara del Confort y del Comercio en Artefactos para el Hogar;;16/8/1972;NO;NO;NO;SI;Vencida;31/12/2019;Juan Carlos Lightowler Stahlberg;31/12/2019;30538665696;BAJA DE OFICIO;;;CABA;; FLORIDA 15 PISO 6Â° (CP 1005) Ciudad Autónoma de Buenos Aires  
Cámara del Crédito Comercial Asociación Civil;CCC;18/9/2019;Si;SI;SI;SI;Vigente;29/12/2025;Roberto Marcelo Mendez;29/12/2025;30540509693;OK;;;Santa Fe;Rosario; MENDOZA 1050 (CP 2000) ROSARIO, Santa Fe  
Cámara del Instrumental y Aparatos de Control;CADIAC;6/10/2016;NO;SI;SI;SI;Vigente;31/12/2024;Enrique Salvo;31/12/2024;30704978320;OK;;;CABA;; PARANA 597 4 27 (CP 1017) Ciudad Autónoma de Buenos Aires  
Cámara del Mármol, Piedra y Granito de la República Argentina;CAMARMOL;7/12/2007;NO;NO;SI;NO;Vencida;1/1/2021;Francisco Ceretti;1/1/2021;30658087513;BAJA DE OFICIO;;;CABA;; VENEZUELA 3264 (CP 1211) Ciudad Autónoma de Buenos Aires  
Cámara del Tabaco de Catamarca;CTC;10/12/2009;NO;SI;SI;SI;Vencida;1/3/2021;Miguel Angel Zurita;1/3/2021;30586990507;OK;;;Catamarca;Los Altos; Mate de Luna s/n (CP 4723) LOS ALTOS, Catamarca  
Cámara del Tabaco de Jujuy;CAMTABJU;9/3/2016;NO;SI;SI;SI;Vencida;16/12/2021;Pedro Pascuttini;16/12/2021;30520998183;OK;;;Jujuy;San Salvador De Jujuy; San Martin 832 (CP ) SAN SALVADOR DE JUJUY, Jujuy  
Cámara Económica de Tres Arroyos;CETA;17/1/1993;Si;SI;SI;SI;Vigente;30/8/2026;María Ramona Maciel;30/8/2024;30525435446;OK;;;Buenos Aires;Tres Arroyos; AVENIDA MORENO 467 (CP 7500) TRES ARROYOS, Buenos Aires  
Cámara Económica Mercedina;CEM;31/3/2005;Si;SI;SI;SI;Vigente;27/10/2025;Carlos Alberto Garanzini;27/10/2025;30534496814;OK;;;Buenos Aires;Mercedes; CALLE 29 638 (CP 6600) MERCEDES, Buenos Aires    
Cámara Empresaria de Benito Juárez;;17/11/1981;NO;NO;SI;NO;Vigente;30/9/2025;Gonzalo Marconi Ricci;30/9/2025;30531866785;OK;;;Buenos Aires;Benito Juarez; AVENIDA LIBERTAD 221 (CP 7020) BENITO JUAREZ, Buenos Aires  
Cámara Empresaria de Conservadores de Ascensores y Afines;CECAF;9/9/2015;NO;SI;SI;SI;Vigente;1/11/2024;Jose Manuel Premaries;1/11/2026;30646852834;OK;;;CABA;; Adolfo Alsina 1609 5 20 (CP 1088) Ciudad Autónoma de Buenos Aires  
Cámara Empresaria de la Región Metropolitana Norte;PLAN D;18/3/2009;NO;SI;SI;SI;Vencida;18/7/2023;José Alberto Bereciartúa;18/7/2023;30710908113;OK;;;Buenos Aires;Martinez; Alvear 9 (CP 1640) MARTINEZ, Buenos Aires  
Cámara Empresaria de Medio Ambiente;CEMA;6/6/2018;NO;SI;SI;SI;Vigente;30/4/2025;Gabriel Valerga;30/4/2025;30682997415;OK;;;CABA;; AVENIDA ROQUE SÁENZ PEÑA 730 7 Of.71 (CP 1035) Ciudad Autónoma de Buenos Aires  
Cámara Empresaria de Olavarría;CEO;00/00/0000;NO;NO;SI;NO;Vencida;30/3/2020;Mario Eduardo Antista;30/3/2020;30525327864;OK;;;Buenos Aires;Olavarria; ESPAÑA 2882 (CP 7400) OLAVARRIA, Buenos Aires  
Cámara Empresaria de Tandil;CET;26/1/2010;Si;SI;SI;SI;Vigente;1/9/2025;Bruno Cerone;1/9/2025;30526413926;OK;;;Buenos Aires;Tandil; MITRE 856 (CP 7000) TANDIL, Buenos Aires  
Cámara Empresaria de Vicente López;CEVL;00/00/0000;NO;SI;SI;SI;Vigente;23/9/2026;Martín Komesu;19/9/2024;30527114884;OK;;;Buenos Aires;Florida; Avenida Maipu 1536 (CP 1602) FLORIDA, Buenos Aires  
Cámara Empresaria Vasco Argentina;CEVA;23/7/2015;NO;SI;SI;SI;Vigente;1/7/2025;Ignacio Martín de Jauregui;1/7/2026;30714943304;OK;;;Buenos Aires;Martinez; AVENIDA ALVEAR 9 (CP 1640) MARTINEZ, Buenos Aires  
Cámara Empresaria, Comercio, Industria, Turismo y Servicios de la Ciudad de Mendoza;CECITYS;00/00/0000;NO;SI;SI;SI;Vigente;30/9/2024;Ángel Adrián Alin;30/9/2024;30708760419;OK;;;Mendoza;; pedro molina 471 1 (CP 5500) MENDOZA, Mendoza   9 de Julio 1120 2 (CP ) MENDOZA, Mendoza   San Martin 1672 local 41 (CP ) Mendoza  
Cámara Empresarial de Bella Vista;CEBV;20/9/2012;NO;SI;SI;SI;Vencida;20/1/2020;Jorge Leguizamon;20/1/2020;30707444963;OK;;;Corrientes;Bella Vista; CATAMARCA 961 (CP 3432) BELLA VISTA, Corrientes  
Cámara Empresarial de Goya;C.E.G.;29/6/2017;NO;SI;SI;SI;Vencida;26/4/2024;Miguel Horacio Galarza;26/4/2024;30707349154;OK;;;Corrientes;Goya; CRISTOBAL COLON 1829 (CP 3450) GOYA, Corrientes  
Cámara Empresarial del Parque Industrial Malvinas Argentinas;CEPIMA;17/1/2013;NO;SI;SI;SI;Vigente;28/10/2024;Alejandro Claudio Galeano;28/10/2024;30711291144;OK;;;Buenos Aires;Tortuguitas; Ramal Pilar Km 36.5 Shopping Tortugas Open Mall -1 (CP 1667) TORTUGUITAS, Buenos Aires  
Cámara Fabricantes de Bolsas;;13/8/2009;NO;SI;NO;SI;Vencida;30/12/2019;Armando Aniceto Crivelli;30/12/2019;30564314540;CONSTANCIA BLOQUEADA;;;CABA;; DEAN FUNES 2063 P.B. (CP 1244) Ciudad Autónoma de Buenos Aires  
Cámara Industrial de la Motocicleta, Bicicleta, Rodados y Afines;CIMBRA;23/9/2015;NO;SI;SI;SI;Vigente;1/12/2024;Rafael Enrique Catalano;1/12/2024;33621990239;OK;;;CABA;; Pizarro 7420 (CP 1440) Ciudad Autónoma de Buenos Aires  
Cámara Industrial de Puerto Madryn y Región Patagonia;CIMA;28/5/2015;NO;SI;SI;SI;Vencida;31/12/2021;Oscar Dethier;31/5/2023;30714029572;OK;;;Chubut;; ARENALES 42 (CP 9120) Chubut  
Cámara Inmobiliaria Argentina;CIA;00/00/0000;NO;SI;SI;NO;Vigente;30/12/2019;Ivan Ginebra;29/7/2027;30595092139;OK;;;CABA;; BARTOLOME MITRE 784 Piso 5 (CP 1036) Ciudad Autónoma de Buenos Aires  
Cámara Inmobiliaria de Catamarca;;00/00/0000;NO;NO;NO;NO;Vencida;1/1/2021;Julio Edmundo Ibarra;1/1/2021;0;SIN CUIT;NO;-;Catamarca;El Tala (san Fernando Del Valle De Catamarca, Dpto. Capital); SAN MART 579 (CP 4700) EL TALA (SAN FERNANDO DEL VALLE DE CATAMARCA, DPTO. CAPITAL), Catamarca  
Cámara Inmobiliaria de La Pampa;;24/9/2009;NO;NO;NO;NO;Vencida;31/1/2021;Pedro Antonio Arpigiani;31/1/2021;30712540717;CONSTANCIA BLOQUEADA;;;La Pampa;Santa Rosa; URUGUAY 430 (CP 6300) SANTA ROSA, La Pampa  
Cámara La Plata Oeste Industria, Comercio, Producción y Servicios;CALPO;22/3/2012;NO;SI;SI;SI;Vencida;31/12/2022;Marcelo Mancuso;31/12/2022;30712266208;OK;;;Buenos Aires;Lisandro Olmos; 199 E/45 y 46 (CP 1901) LISANDRO OLMOS, Buenos Aires  
Cámara Metropolitana de Turismo, Comercio y Servicios de Misiones;CMTC;24/7/2017;Si;SI;SI;SI;Vigente;28/3/2025;Martín Arturo Oria;28/3/2025;30712465022;OK;;;Misiones;Posadas; SARMIENTO 2183 2 (CP 3300) POSADAS, Misiones  
Cámara Minera de San Juan;CMSJ;3/12/2009;NO;SI;SI;SI;Vencida;30/7/2020;Mario Hernández;2/8/2023;30649207573;OK;;;San Juan;San Juan; ESTEBAN ECHEVERRIA 526 SUR (CP 5400) SAN JUAN, San Juan  
Cámara Mujeres Empresarias de Corrientes;CEDEMEC;15/10/2009;NO;SI;SI;SI;Vencida;31/3/2020;Maricel Mirian Benítez de Ognio;31/3/2020;30711826765;BAJA DE OFICIO;;;Corrientes;; España 1101 (CP 3400) Corrientes  
Cámara Mujeres Empresarias de Misiones;CAMEM;26/11/2009;NO;SI;SI;SI;Vencida;31/12/2023;Silvana Ratti;31/12/2023;30711119538;OK;;;Misiones;Posadas; Bermudez 1848 (CP ) POSADAS, Misiones  
Cámara Mujeres Empresarias del Chaco;CAMECH;9/10/2009;Si;SI;SI;SI;Vigente;19/12/2024;Beatriz del Carmen Tourn;19/12/2024;30711233829;OK;;;Chaco;Resistencia; RUTA 11 Km. 1007 (CP 3500) RESISTENCIA, Chaco    
Cámara Nogalera de La Rioja;CANOLAR;26/11/2009;NO;SI;NO;SI;Vencida;1/1/2021;Tomas Antonio Francavila;1/1/2021;0;SIN CUIT;SI;25/11/2009;La Rioja;Chilecito; AV. PTE PERÓN (AER - INTA CHILECITO) sin nro. (CP 5360) CHILECITO, La Rioja  
Cámara Olivícola de San Juan;;30/11/2017;NO;SI;SI;SI;Vencida;31/12/2021;Gonzalo Lenzano;30/12/2023;30709678767;OK;;;San Juan;San Juan; Caseros (SUR) 126 (CP 5400) SAN JUAN, San Juan  
Cámara Olivícola del Sur (Sur Oliva);;8/3/2012;NO;SI;SI;SI;Vencida;1/5/2017;Mario Oscar Fernández;1/5/2017;33710682459;CONSTANCIA BLOQUEADA;;;Buenos Aires;Coronel Dorrego; Avda. Fuertes 634 (CP 8150) CORONEL DORREGO, Buenos Aires  
Cámara Olivícola Riojana;COR;14/12/2011;NO;SI;SI;SI;Vencida;30/6/2020;Julián Mario Clusellas;30/6/2020;30692771555;OK;;;La Rioja;La Rioja; Granadero Gurell 875 (CP 5300) LA RIOJA, La Rioja  
Cámara Productores Lecheros de la Provincia de Córdoba;CAPROLEC;14/9/2017;NO;SI;SI;SI;Vencida;31/12/2020;Oracio Saluzzo;31/12/2020;30707566015;BAJA DE OFICIO;;;Córdoba;Villa Maria; Pasaje Falucho 326 (CP 5900) VILLA MARIA, Córdoba  
Cámara Regional de Comercio e Industria de Lomas de Zamora;CRDCILZ;4/8/1989;Si;SI;SI;SI;Vigente;31/12/2025;Camilo Alberto Kahale;31/12/2025;30528013925;OK;;;Buenos Aires;Lomas De Zamora; ACEVEDO 48 (CP 1832) LOMAS DE ZAMORA, Buenos Aires  
Cámara Regional de Comercio, Industria, Producción Y Servicios de San Pedro;CCOPyS;20/2/2019;NO;SI;SI;SI;Vencida;30/12/2022;Raúl Hector Añais;28/1/2024;30715365460;OK;;;Misiones;San Pedro; SAN MARTÍN 715 (CP 3352) SAN PEDRO, Misiones  
Cámara Regional de Industria y Comercio Alem;CRICA;17/3/2021;NO;SI;SI;SI;Vigente;30/4/2026;Juan Pablo Velona;30/4/2026;30687858049;OK;;;Misiones;Leandro N. Alem; SANTA CRUZ 980 1 (CP 3315) LEANDRO N. ALEM, Misiones  
Cámara Regional de Industria, Producción y Comercio de Oberá;CRIPCO;13/11/1985;NO;SI;SI;SI;Vigente;30/1/2024;Carlos Ernesto Seewald;31/12/2024;30533141982;OK;;;Misiones;Obera; 9 DE JULIO 934 (CP 3360) OBERA, Misiones  
Cámara Regional de la Producción y la Agroindustria;;26/5/2011;Si;SI;SI;SI;Vigente;01/09/2024;José Eduardo Rodríguez;1/9/2024;30681260699;OK;;;Salta;; 20 de Febrero 473 (CP 4400) Salta  
Cámara Regional Económica El Zapallar;CREEZ;20/6/2009;Si;SI;SI;SI;Vigente;6/6/2026;Dario Javier Navarro;6/6/2026;30670155575;OK;;;Chaco;General San Martin; MARIANO MORENO 10 (CP 3509) GENERAL SAN MARTIN, Chaco  
Cámara Regional Económica, Producción, Industria y Comercio El Colorado;CRE;13/11/2019;NO;SI;SI;SI;Vigente;12/10/2025;Osvaldo Pitra;12/10/2025;30715522876;OK;;;Formosa;; San Martin 634 (CP 3603) Formosa  
Cámara Riojana de Productores Agropecuarios;CARPA;8/5/2019;NO;SI;SI;SI;Vigente;26/10/2025;Mario Hernán González;26/10/2026;30671737691;OK;;;La Rioja;Chilecito; AVENIDA PRESIDENTE PERON 627 (CP 5360) CHILECITO, La Rioja  
Cámara Unión del Comercio e Industria de Campana;CUCEI;13/8/2009;NO;NO;SI;NO;Vigente;31/3/2025;Octavio Nicolas Lagar;31/3/2025;30521184945;OK;;;Buenos Aires;Campana; ROCCA 171 (CP 2804) CAMPANA, Buenos Aires  
Cámara Usuarios Zona Franca La Plata;;26/3/1998;NO;NO;NO;NO;Vencida;1/1/2021;Jorge Hanfling;1/1/2021;30692093387;BAJA DE OFICIO;;;Buenos Aires;Ensenada; DON BOSCO E HIP?LITO IRIGOYEN Sin Nro. Of. 3 y 4 de usos mu (CP 1925) ENSENADA, Buenos Aires  
Cámara Vitivinícola de San Juan;;15/4/2010;NO;SI;SI;SI;Vigente;31/12/2020;Gustavo Samper;12/9/2024;30710773498;OK;;;San Juan;Santa Lucia;Avenida Sarmiento 3181 - Santa Lucia
Centro de Agricultores Cañeros de Tucumán;CACTU;23/06/2021;NO;SI;SI;SI;Vigente;16/11/2019;Maximo Nilamon Bulacio;30/12/2024;33516440339;CONSTANCIA BLOQUEADA;;;Tucumán;San Miguel de Tucumán;Buenos Aires 446 (CP 4000), SAN MIGUEL DE TUCUMÁN, TUCUMÁN
Centro - Club Progreso y de las Actividades Económicas de La Paz;;00/00/0000;NO;SI;SI;SI;Vigente;31/12/2023;Adriana Carolina Vivas;31/12/2024;30709595799;OK;;;Entre Ríos;La Paz; Moreno 1062 (CP 3190) LA PAZ, Entre Ríos  
Centro Comercial Industrial y de Servicios Gobernador Crespo;CCI;17/6/2009;NO;SI;SI;SI;Vigente;9/2/2026;Luciano Nicolas Arce;9/2/2026;30714395552;OK;;;Santa Fe;Gobernador Crespo; BELGRANO 289 (CP 3044) GOBERNADOR CRESPO, Santa Fe  
Centro Comercial Carlos Pellegrini;CCOMIS;21/1/2010;NO;NO;SI;NO;Vencida;1/3/2024;Jesica Cosatto;1/3/2024;33709687579;OK;;;Santa Fe;Carlos Pellegrini; Marcos Paz 985 (CP 2453) CARLOS PELLEGRINI, Santa Fe  
Centro Comercial de Munro;CCM;29/10/1993;NO;NO;SI;NO;Vencida;1/1/2021;Micaela Muñoz;1/1/2021;30711947201;OK;;;Buenos Aires;Munro; BELGRANO 2425 (CP 1605) MUNRO, Buenos Aires  
Centro Comercial de Plátanos - Hudson;;9/6/2003;NO;NO;NO;NO;Vencida;1/1/2021;Ruben Benitez;1/1/2021;0;SIN CUIT;SI;09/06/2005;Buenos Aires;Guillermo E. Hudson; AVENIDA 55 4711 (CP 1885) GUILLERMO E. HUDSON, Buenos Aires  
Centro Comercial de San Cristóbal;CCS;18/12/2008;NO;NO;SI;NO;Vigente;14/4/2025;Susana Gollé;14/4/2025;30527847369;OK;;;Santa Fe;San Cristobal; PUEYRREDON 1190 (CP 3070) SAN CRISTOBAL, Santa Fe  
Centro Comercial de Santa Fe;CCSF;15/3/2010;SI;SI;SI;SI;Vigente;30/3/2024;Leandro Chavarini;23/3/2026;30526717771;OK;;;Santa Fe;Santa Fe; SAN MARTIN 2819 (CP 3000) SANTA FE, Santa Fe  
Centro Comercial e Industrial de Alcorta;CCIA;19/5/2009;NO;NO;SI;NO;Vencida;30/6/2017;Luis Alberto Rimola;30/6/2017;30710981163;BAJA DE OFICIO;;;Santa Fe;Alcorta (dep. Constitucion); PELLEGRINI 128 (CP 2117) ALCORTA (DEP. CONSTITUCION), Santa Fe  
Centro Comercial e Industrial de Avellaneda;;00/00/0000;NO;SI;SI;SI;Vigente;9/11/2025;Roberto Luis Maria García Prada;9/11/2025;30526805468;OK;;;Buenos Aires;Avellaneda; AVENIDA MITRE 429 1 (CP 1870) AVELLANEDA, Buenos Aires  
Centro Comercial e Industrial de Barrancas;CCIB;10/9/2009;NO;NO;SI;NO;Vencida;31/12/2020;Mónica Burgués Rango;31/5/2023;30674158382;OK;;;Santa Fe;Barrancas; AV. SAN MARTIN 901 (CP 2246) BARRANCAS, Santa Fe  
Centro Comercial e Industrial de Berazategui;CCIB;10/9/2009;Si;SI;SI;SI;Vigente;30/11/2024;Alberto Horacio Bloise;30/11/2024;33534478149;OK;;;Buenos Aires;Berazategui; AVENIDA 14 5124 (CP 1884) BERAZATEGUI, Buenos Aires  
Centro Comercial e Industrial de Castelar;CCIC;25/6/2007;NO;SI;SI;SI;Vigente;1/10/2025;Gustavo Adolfo Ovando;1/10/2025;30520642095;OK;;;Buenos Aires;Castelar; MONTES DE OCA 2355 (CP 1712) CASTELAR, Buenos Aires  
Centro Comercial e Industrial de Coronda;;6/8/2009;NO;SI;SI;NO;Vigente;31/8/2024;Darío Gabriel Quaglia;31/8/2024;30660246629;OK;;;Santa Fe;Coronda; 9 DE JULIO 1347 (CP 2240) CORONDA, Santa Fe  
Centro Comercial e Industrial de Fray Luis Beltrán;CCeIFLB;4/7/2014;NO;SI;SI;SI;Vigente;20/3/2025;José Luis Colombo;20/3/2025;30645881865;OK;;;Santa Fe;Fray Luis Beltran; Art. Illia 017 (CP ) FRAY LUIS BELTRAN, Santa Fe  
Centro Comercial e Industrial de Hersilia;;18/6/2009;NO;SI;NO;SI;Vencida;31/12/2019;Isaac José Mendez;31/12/2019;33714252939;CONSTANCIA BLOQUEADA;;;Santa Fe;Hersilia; Av. Colon Estacion FFCC (CP 2352) HERSILIA, Santa Fe  
Centro Comercial e Industrial de Huanguelén;;18/3/2009;NO;SI;SI;SI;Vencida;30/11/2021;Miguel Ángel Menchi;30/11/2021;30611976158;BAJA DE OFICIO;;;Buenos Aires;Huanguelen; Calle 27 928 (CP ) HUANGUELEN, Buenos Aires   CALLE 9 559 (CP 7545) HUANGUELEN, Buenos Aires  
Centro Comercial e Industrial de La Criolla;C.C.I.L.C;16/2/2012;NO;SI;SI;SI;Vigente;14/6/2026;Herminio Travesani;14/6/2026;30712304665;OK;;;Santa Fe;La Criolla; 9 de Julio S/N (CP 3052) LA CRIOLLA, Santa Fe  
Centro Comercial e Industrial de La Rioja;CCILAR;12/12/1986;Si;SI;SI;SI;Vigente;1/12/2027;Juan Keulyan;1/12/2027;30608692505;OK;;;La Rioja;La Rioja; COPIAPO 235 Planta Alta (CP 5300) LA RIOJA, La Rioja  
Centro Comercial e Industrial de Lanús;CCIL;3/9/1996;Si;SI;SI;SI;Vigente;1/3/2025;Walter Monzón Sauán;1/3/2025;30663557994;BAJA DE OFICIO;;;Buenos Aires;Lanus; 9 DE JULIO 1535 PB (CP 1824) LANUS, Buenos Aires  
Centro Comercial e Industrial de Malabrigo;CCIM;20/8/2009;NO;SI;SI;SI;Vigente;21/10/2025;Jorge Ovidio Soto;24/10/2025;30674392695;OK;;;Santa Fe;Malabrigo; SAN MARTIN 1938 (CP 3572) MALABRIGO, Santa Fe  
Centro Comercial e Industrial de Paraná;(CeCIP);11/3/1999;Si;SI;SI;SI;Vigente;31/12/2025;Marcelo Quiroga;31/12/2025;30525662620;OK;;;Entre Ríos;Parana; 25 DE MAYO 28 Piso 1 (CP 3100) PARANA, Entre Ríos  
Centro Comercial e Industrial de Rafaela y la Región;CCIRR;29/11/2001;Si;SI;SI;SI;Vigente;31/10/2022;Mauricio Rizzotto;31/10/2024;30525777614;OK;;;Santa Fe;Rafaela; NECOCHEA 84 (CP 2300) RAFAELA, Santa Fe  
Centro Comercial e Industrial de Rawson - San Juan;CICR;18/9/2000;NO;SI;NO;SI;Vencida;30/7/2019;Karina Del Valle Quiroga;30/7/2019;30700795620;BAJA DE OFICIO;;;San Juan;Villa Krause; Boulevard Sarmiento 636 (CP 5425) VILLA KRAUSE, San Juan  
Centro Comercial e Industrial de San Carlos;;23/4/2009;NO;NO;SI;NO;Vencida;20/5/2019;Marcelo Levrino;20/5/2019;30584304428;BAJA DE OFICIO;;;Santa Fe;San Carlos Centro; J.D. PER?N 408 1 (CP 3013) SAN CARLOS CENTRO, Santa Fe  
Centro Comercial e Industrial de San Jorge;CCEI;8/4/2010;NO;SI;SI;SI;Vigente;16/12/2024;Damian Gabriel Romero;16/12/2024;30627867359;OK;;;Santa Fe;San Jorge; Av. Jorge Ortiz 1966 (CP 2452) SAN JORGE, Santa Fe  
Centro Comercial e Industrial de San Justo;CCISJ;00/00/0000;Si;SI;SI;SI;Vigente;1/9/2024;Gonzalo Aimar;1/9/2024;30634062617;OK;;;Santa Fe;San Justo; INDEPENDENCIA 2633 (CP 3040) SAN JUSTO, Santa Fe  
Centro Comercial e Industrial de Venado Tuerto;CCEIVT;15/1/2003;Si;SI;SI;SI;Vigente;26/3/2025;Sebastián Esteban Turdó Farias;26/3/2025;30531979172;OK;;;Santa Fe;Venado Tuerto; SAN MARTIN 75 PA (CP 2600) VENADO TUERTO, Santa Fe  
Centro Comercial e Industrial del Departamento de San Jerónimo;;00/00/0000;NO;NO;SI;NO;Vigente;1/9/2024;Sergio Alberto Garnero;1/9/2025;0;SIN CUIT;;;Santa Fe;Galvez; DORREGO 675 (CP ) GALVEZ, Santa Fe  
Centro Comercial e Industrial Esteban J. S. Crovara;;00/00/0000;NO;NO;SI;NO;Vigente;31/3/2026;Enrique Raúl Gardeñez;31/3/2025;30516581049;OK;;;Buenos Aires;Villa Madero; AVENIDA CROVARA 844 (CP 1768) VILLA MADERO, Buenos Aires  
Centro Comercial e Industrial Las Toscas;;23/4/2009;NO;NO;NO;NO;Vencida;1/1/2021;Héctor Abatte;1/1/2021;0;SIN CUIT;SI;17/04/2009;Santa Fe;Las Toscas; CALLE 25 ESQUINA 8 Sin Nro (CP 3586) LAS TOSCAS, Santa Fe  
Centro Comercial Industrial y de la Produccion del Dpto. Colon;Cecom Colon;21/8/2014;NO;SI;SI;SI;Vigente;1/8/2024;Fabio Daniel Iribarren;1/8/2024;30670750341;OK;;;Entre Ríos;Colon; SAN MARTIN 178 (CP 3280) COLON, Entre Ríos  
Centro Comercial Industrial y Servicios de Chivilcoy;CECOINSE;00/00/0000;NO;SI;SI;NO;Vigente;31/3/2025;Julio Alberto Morrone;31/3/2025;30526733157;OK;;;Buenos Aires;Chivilcoy; AVENIDA SOAREZ 33 (CP 6620) CHIVILCOY, Buenos Aires  
Centro Comercial Luján;CCL;30/4/2008;NO;SI;NO;SI;Vencida;1/1/2019;Néstor Daniel Ponce;1/1/2019;30710297173;BAJA DE OFICIO;;;Buenos Aires;Lujan; Humberto (CP 6700) LUJAN, Buenos Aires  
Centro Comercial Victoria;;1/10/2015;NO;SI;SI;SI;Vencida;31/12/2019;Daniel Germán Reffatti Vilchez;29/10/2023;30681119953;OK;;;Entre Ríos;Victoria; ESPAÑA 165 (CP 3153) VICTORIA, Entre Ríos  
Centro Comercial y Social de Villa Ocampo;CCS;23/4/2009;NO;SI;SI;SI;Vigente;30/8/2023;Natalia Rosa Ruscitti;31/8/2026;30674382975;OK;;;Santa Fe;Villa Ocampo; AVENIDA SAN MARTIN 1437 (CP 3580) VILLA OCAMPO, Santa Fe  
Centro Comercial, Industrial y Agropecuario de Arrufó;CCIA;10/9/2009;NO;NO;SI;NO;Vencida;30/4/2021;Omar Ribotta;30/4/2021;30709185744;OK;;;Santa Fe;Arrufo; ENRIQUE CRIPPA 768 (CP 2344) ARRUFO, Santa Fe  
Centro Comercial, Industrial y Agropecuario de San Guillermo;CCIA;18/6/2009;NO;NO;SI;NO;Vencida;5/6/2024;Mariana Riberi;5/6/2024;30648594778;OK;;;Santa Fe;San Guillermo; M. M. DE GUEMES 127 (CP 2347) SAN GUILLERMO, Santa Fe  
Centro Comercial, Industrial y Agropecuario de Villa Trinidad;CCIAVT;20/8/2009;NO;SI;SI;NO;Vigente;6/4/2025;Luciana Carolina Cerutti;6/4/2025;30707876200;OK;;;Santa Fe;Villa Trinidad; Saavedra 404 (CP 2345) VILLA TRINIDAD, Santa Fe  
Centro Comercial, Industrial y Bienes Raíces de Pilar;CCPilar;23/4/2009;NO;NO;SI;NO;Vencida;31/12/2019;Martin Eladio Brusco;31/12/2019;30659521829;OK;;;Santa Fe;Pilar; RIVADAVIA 1286 (CP 3085) PILAR, Santa Fe  
Centro Comercial, Industrial y de Bienes Raíces de Humboldt;CCI y Bs. Rs. H.;18/6/2009;NO;NO;SI;NO;Vencida;30/6/2023;Gabriel Ángel Schachner;30/6/2023;30692336549;OK;;;Santa Fe;Humboldt; AVENIDA BECK Y HERZOG 1419 (CP 3081) HUMBOLDT, Santa Fe  
